Key,Value
And,1
Each,1
Forest,1
Here,1
One,1
Sparkle,1
Throughout,1
Together,1
Using,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
ageold,1
alliances,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
artifact,1
as,1
as,1
back,1
became,1
believe,1
bid,1
book,1
book,1
book,1
by,1
chamber,1
colors,1
creatures,1
creatures,1
creatures,1
crystal,1
curious,1
darkness,1
darkness,1
dusty,1
embarked,1
enchantment,1
encountered,1
enveloped,1
feast,1
finally,1
flight,1
for,1
former,1
hues,1
incantation,1
insatiable,1
its,1
kaleidoscope,1
leatherbound,1
life,1
light,1
light,1
memories,1
mischievous,1
old,1
pixie,1
place,1
reached,1
revealing,1
shimmering,1
shrouded,1
sky,1
soon,1
stood,1
stories,1
story,1
stumbled,1
such,1
tale,1
there,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
unique,1
unlikely,1
village,1
village,1
young,1
