Key,Value
Amulet,1
Crystal,1
Each,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Nimbus,1
Once,1
One,1
Orion,1
Quill,1
Using,1
Whispers,1
ability,1
an,1
an,1
an,1
ancient,1
ancient,1
animals,1
artifact,1
as,1
as,1
before,1
bring,1
by,1
celebrated,1
challenges,1
closed,1
colors,1
combined,1
courage,1
creatures,1
creatures,1
creatures,1
curse,1
curse,1
doors,1
dusty,1
enchanted,1
encountered,1
enveloped,1
erupted,1
etched,1
exploring,1
farewell,1
filled,1
finally,1
find,1
former,1
found,1
friends,1
giant,1
girl,1
glory,1
grand,1
grandfathers,1
gratitude,1
her,1
her,1
her,1
her,1
her,1
her,1
her,1
herself,1
hidden,1
hues,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
incantation,1
inspiring,1
its,1
journey,1
kaleidoscope,1
key,1
land,1
land,1
lavender,1
leatherbound,1
library,1
life,1
light,1
light,1
lived,1
lived,1
magic,1
name,1
named,1
named,1
named,1
named,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
old,1
others,1
painted,1
pixie,1
puzzles,1
quaint,1
radiant,1
reached,1
realm,1
revealing,1
she,1
she,1
she,1
she,1
she,1
soon,1
stood,1
story,1
storytelling,1
such,1
that,1
that,1
that,1
that,1
that,1
that,1
that,1
there,1
three,1
time,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
transporting,1
treacherous,1
unique,1
village,1
village,1
where,1
while,1
whisper,1
within,1
